Course Code,Course Title,Semester,L,T,P
PEL200,ENGLISH COMMUNICATION SKILLS,,3,1,0
CAP101M,PROGRAMME ORIENTATION-I,,2,0,0
CAP143,FOUNDATION OF COMPUTER APPLICATIONS,,3,0,2
CAP147,UNITY FOR IMMERSIVE EXPERIENCES,,2,0,2
CAP172,PROGRAMMING METHODOLOGIES,,3,0,0
CAP173,PROGRAMMING METHODOLOGIES-LABORATORY,,0,0,2
MTH136,DISCRETE STRUCTURES,,3,1,0
PEL200,ENGLISH COMMUNICATION SKILLS,,3,1,0
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP449,INDUSTRY CO-OP PROJECT,,0,0,32
CAP449,INDUSTRY CO-OP PROJECT,,0,0,32
CAP100,PROGRAMMING IN C,,2,0,0
CAP100M,PROGRAMME ORIENTATION,,2,0,0
CAP180,PROGRAMMING IN C-LABORATORY,,0,0,4
CAP366,OPERATING SYSTEM DESIGN AND PRINCIPLES,,3,0,0
CAP476,DATA COMMUNICATION AND NETWORKING,,2,0,0
CAP478,DATA COMMUNICATION AND NETWORKING-LABORATORY,,0,0,2
CAP570,ADVANCED DATABASE TECHNIQUES,,2,0,3
CAP575,DATA ANALYTICS USING R,,0,0,5
MTH403,MATHEMATICAL FOUNDATION FOR COMPUTER SCIENCE,,3,1,0
,GENERIC ELECTIVE 2,,0,0,0
,GENERIC ELECTIVE 3,,0,0,0
CAP426,ARTIFICIAL INTELLIGENCE FOR INTERACTIVE DATA VISUALIZATION,,0,0,4
CAP598,SOFTWARE ENGINEERING AND PROJECT MANAGEMENT,,3,0,0
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP776,PROGRAMMING IN PYTHON,,3,0,2
CAP798,RESEARCH PROJECT -I,,0,0,8
ECE662,IOT WITH NODEMCU,,3,0,2
ECE663,EMBEDDED SYSTEMS WITH MICROPYTHON,,3,0,2
FIN501,CORPORATE FINANCE,,3,1,0
FIN623,INTERNATIONAL FINANCIAL MANAGEMENT,,4,0,0
FIN656,INTERNATIONAL BANKING AND FOREX MANAGEMENT,,4,0,0
GEN531,RESEARCH METHODS AND DESIGN,,4,0,0
MKT501,MARKETING MANAGEMENT,,4,0,0
MKT512,DIGITAL AND SOCIAL MEDIA MARKETING,,3,1,0
MKT613,CONSUMER BEHAVIOR,,3,1,0
,PATHWAY ELECTIVE 3,,0,0,0
,PATHWAY ELECTIVE 4,,0,0,0
CAB311,DEEP LEARNING,,3,0,2
CAB312,BIG DATA ANALYTICS,,0,0,4
CAP415,INTRODUCTION TO IOT AND ARDUINO,,3,0,2
CAP418,WORKSHOP ON IOT,,2,0,0
CAP419,WORKSHOP ON IOT- LABORATORY,,0,0,4
CAP450,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,,2,0,2
CAP538,ALGORITHM DESIGN AND ANALYSIS,,3,0,0
CAP539,ALGORITHM DESIGN AND ANALYSIS - LABORATORY,,0,0,2
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP771,SOFTWARE TESTING AND QUALITY ASSURANCE,,3,0,2
CAP778,COMBINATORIAL STUDIES-I,,3,1,0
CAP779,COMBINATORIAL STUDIES-II,,3,1,0
PES515,SOFT SKILLS- II,,1,2,0
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP831,INDUSTRY CO-OP PROJECT,,0,0,32
,PATHWAY ELECTIVE 4,,0,0,0
,PATHWAY ELECTIVE 3,,0,0,0
CAD201,PROBABILITY AND STATISTICS FOR DATA SCIENCE,,3,0,0
CAD401,DATA EXPLORATION AND PREPARATION,,2,0,2
CAD402,DATA VISUALIZATION AND STORYTELLING,,2,0,2
CAP415,INTRODUCTION TO IOT AND ARDUINO,,3,0,2
CAP418,WORKSHOP ON IOT,,2,0,0
CAP419,WORKSHOP ON IOT- LABORATORY,,0,0,4
CAP450,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,,2,0,2
CAP538,ALGORITHM DESIGN AND ANALYSIS,,3,0,0
CAP539,ALGORITHM DESIGN AND ANALYSIS - LABORATORY,,0,0,2
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP771,SOFTWARE TESTING AND QUALITY ASSURANCE,,3,0,2
CAP778,COMBINATORIAL STUDIES-I,,3,1,0
CAP779,COMBINATORIAL STUDIES-II,,3,1,0
PES515,SOFT SKILLS- II,,1,2,0
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP831,INDUSTRY CO-OP PROJECT,,0,0,32
,PATHWAY ELECTIVE 1,,0,0,0
CAP100M,PROGRAMME ORIENTATION,,2,0,0
CAP443,LINUX AND SHELL SCRIPTING - LAB,,0,0,4
CAP455,OBJECT ORIENTED PROGRAMMING USING C++,,3,0,2
CAP476,DATA COMMUNICATION AND NETWORKING,,2,0,0
CAP478,DATA COMMUNICATION AND NETWORKING-LABORATORY,,0,0,2
CAP570,ADVANCED DATABASE TECHNIQUES,,2,0,3
CAP598,SOFTWARE ENGINEERING AND PROJECT MANAGEMENT,,3,0,0
PEA515,ANALYTICAL SKILLS-I,,2,2,0
PEL544,CORPORATE COMMUNICATION SKILLS,,2,0,2
,DEPARTMENT ELECTIVE 1,,0,0,0
,PATHWAY ELECTIVE 3,,0,0,0
,PATHWAY ELECTIVE 4,,0,0,0
,SPECIALIZATION ELECTIVE 2,,0,0,0
,SPECIALIZATION ELECTIVE 1,,0,0,0
CAP402,NETWORK ADMINISTRATION,,3,0,0
CAP403,NETWORK ADMINISTRATION- LABORATORY,,0,0,2
CAP415,INTRODUCTION TO IOT AND ARDUINO,,3,0,2
CAP418,WORKSHOP ON IOT,,2,0,0
CAP419,WORKSHOP ON IOT- LABORATORY,,0,0,4
CAP456,INTRODUCTION TO BIG DATA,,3,0,0
CAP457,INTRODUCTION TO BIG DATA - LABORATORY,,0,0,2
CAP470,CLOUD PLATFORM AND SERVICE MODEL,,3,0,0
CAP471,CLOUD PLATFORM AND SERVICE MODEL-LABORATORY,,0,0,2
CAP538,ALGORITHM DESIGN AND ANALYSIS,,3,0,0
CAP539,ALGORITHM DESIGN AND ANALYSIS - LABORATORY,,0,0,2
CAP725,DIGITAL MARKETING,,3,0,2
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP747,PROBABILITY AND STATISTICS,,3,0,0
CAP748,PROBABILITY AND STATISTICS-LABORATORY,,0,0,2
CAP771,SOFTWARE TESTING AND QUALITY ASSURANCE,,3,0,2
CAP774,STYLING AND SCRIPTING FOR WEB DEVELOPMENT,,3,0,2
CAP776,PROGRAMMING IN PYTHON,,3,0,2
CAP777,WEB DEVELOPMENT USING PHP,,3,0,2
CAP778,COMBINATORIAL STUDIES-I,,3,1,0
CAP779,COMBINATORIAL STUDIES-II,,3,1,0
CAP787,DATA SCIENCE TOOLBOX,,3,0,0
CAP788,DATA SCIENCE TOOLBOX-LABORATORY,,0,0,2
CAP790,SECURING NETWORK AND IT INFRASTRUCTURE,,3,0,0
CAP791,SECURING NETWORK AND IT INFRASTRUCTURE-LABORATORY,,0,0,2
CAP823,GAME DEVELOPMENT FUNDAMENTALS USING UNITY ENGINE,,2,0,4
CAP824,UNREAL PROGRAMMING USING C++,,2,0,4
PES515,SOFT SKILLS- II,,1,2,0
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP831,INDUSTRY CO-OP PROJECT,,0,0,32
,GENERIC ELECTIVE 2,,0,0,0
,GENERIC ELECTIVE 3,,0,0,0
CAB315,ARTIFICIAL INTELLIGENCE ANALYST 3,,2,0,2
CAB414,INDUSTRY PROJECT ,,0,0,8
CAP250,DEEP LEARNING WITH GENERATIVE AI AND DATA SCIENCE,,3,0,2
CAP580,NO SQL DATABASE,,0,0,3
CAP798,RESEARCH PROJECT -I,,0,0,8
ECE662,IOT WITH NODEMCU,,3,0,2
ECE663,EMBEDDED SYSTEMS WITH MICROPYTHON,,3,0,2
FIN501,CORPORATE FINANCE,,3,1,0
FIN623,INTERNATIONAL FINANCIAL MANAGEMENT,,4,0,0
FIN656,INTERNATIONAL BANKING AND FOREX MANAGEMENT,,4,0,0
GEN531,RESEARCH METHODS AND DESIGN,,4,0,0
MKT501,MARKETING MANAGEMENT,,4,0,0
MKT512,DIGITAL AND SOCIAL MEDIA MARKETING,,3,1,0
MKT613,CONSUMER BEHAVIOR,,3,1,0
CAP101M,PROGRAMME ORIENTATION-I,,2,0,0
CAP123,DIGITAL ELECTRONICS,,3,0,0
CAP134,DIGITAL ELECTRONICS-LABORATORY,,0,0,2
CAP172,PROGRAMMING METHODOLOGIES,,3,0,0
CAP173,PROGRAMMING METHODOLOGIES-LABORATORY,,0,0,2
CAP200,DATABASE MANAGEMENT SYSTEMS,,3,0,0
CAP280,DATABASE MANAGEMENT SYSTEMS-LABORATORY,,0,0,2
CHE110,ENVIRONMENTAL STUDIES,,2,0,0
MTH136,DISCRETE STRUCTURES,,3,1,0
PEL200,ENGLISH COMMUNICATION SKILLS,,3,1,0
,DEPARTMENT ELECTIVE 2,,0,0,0
,SKILL ENHANCEMENT COURSE 1,,0,0,0
CAC104,IT FUNDAMENTALS,,3,1,0
CAC201,NETWORK CONFIGURATION AND MANAGEMENT,,2,1,2
CAP213,PRINCIPLES OF OPERATING SYSTEMS,,4,0,0
CAP267,DATA STRUCTURES,,3,0,0
CAP282,DATA STRUCTURES-LABORATORY,,0,0,2
CAP339,SOFTWARE ENGINEERING,,4,0,0
CAP473,GAME DEVELOPMENT USING UNITY ENGINE,,2,0,4
CAP483,DATA VISUALIZATION,,2,0,4
MGN231,PROJECT,,0,0,4
PES209,SOFT SKILLS,,2,2,0
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP449,INDUSTRY CO-OP PROJECT,,0,0,32
CAB111,DATA VISUALIZATION USING PYTHON AND R,,0,0,4
CAB112,INTRODUCTION TO DATA SCIENCE ,,3,0,2
CAP100M,PROGRAMME ORIENTATION,,2,0,0
CAP469,DATA WAREHOUSING AND DATA MINING,,3,0,2
CAP558,STATISTICAL FOUNDATION FOR DATA SCIENCE,,3,0,0
CAP570,ADVANCED DATABASE TECHNIQUES,,2,0,3
CAP693,PROGRAMMING IN C,,3,0,2
,PATHWAY ELECTIVE 1,,0,0,0
CAB111,DATA VISUALIZATION USING PYTHON AND R,,0,0,4
CAB112,INTRODUCTION TO DATA SCIENCE,,3,0,2
CAP100M,PROGRAMME ORIENTATION,,2,0,0
CAP443,LINUX AND SHELL SCRIPTING - LAB,,0,0,4
CAP470,CLOUD PLATFORM AND SERVICE MODEL,,3,0,0
CAP476,DATA COMMUNICATION AND NETWORKING,,2,0,0
CAP478,DATA COMMUNICATION AND NETWORKING-LABORATORY,,0,0,2
CAP570,ADVANCED DATABASE TECHNIQUES,,2,0,3
PEA515,ANALYTICAL SKILLS-I,,2,2,0
PEL544,CORPORATE COMMUNICATION SKILLS,,2,0,2
,PATHWAY ELECTIVE 1,,0,0,0
CAD102,PROGRAMMING IN PYTHON,,3,0,2
CAP100M,PROGRAMME ORIENTATION,,2,0,0
CAP455,OBJECT ORIENTED PROGRAMMING USING C++,,3,0,2
CAP476,DATA COMMUNICATION AND NETWORKING,,2,0,0
CAP477,ADVANCED INTERNET PROGRAMMING USING JAVA,,3,0,2
CAP478,DATA COMMUNICATION AND NETWORKING-LABORATORY,,0,0,2
CAP641,DATA SCIENCE AND AI,,2,0,0
PEA515,ANALYTICAL SKILLS-I,,2,2,0
PEL544,CORPORATE COMMUNICATION SKILLS,,2,0,2
,PATHWAY ELECTIVE 1,,0,0,0
CAC203,AI ASSISTED CYBER SECURITY FUNDAMENTAL,,2,2,0
CAP100M,PROGRAMME ORIENTATION,,2,0,0
CAP476,DATA COMMUNICATION AND NETWORKING,,2,0,0
CAP477,ADVANCED INTERNET PROGRAMMING USING JAVA,,3,0,2
CAP478,DATA COMMUNICATION AND NETWORKING-LABORATORY,,0,0,2
MTH403,MATHEMATICAL FOUNDATION FOR COMPUTER SCIENCE,,3,1,0
PEA515,ANALYTICAL SKILLS-I,,2,2,0
PEL544,CORPORATE COMMUNICATION SKILLS,,2,0,2
CAP101M,PROGRAMME ORIENTATION-I,,2,0,0
CAP172,PROGRAMMING METHODOLOGIES,,3,0,0
CAP173,PROGRAMMING METHODOLOGIES-LABORATORY,,0,0,2
CAP200,DATABASE MANAGEMENT SYSTEMS,,3,0,0
CAP280,DATABASE MANAGEMENT SYSTEMS-LABORATORY,,0,0,2
CHE110,ENVIRONMENTAL STUDIES,,2,0,0
MTH136,DISCRETE STRUCTURES,,3,1,0
PEL200,ENGLISH COMMUNICATION SKILLS,,3,1,0
CAP101M,PROGRAMME ORIENTATION-I,,2,0,0
CAP172,PROGRAMMING METHODOLOGIES,,3,0,0
CAP173,PROGRAMMING METHODOLOGIES-LABORATORY,,0,0,2
CAP200,DATABASE MANAGEMENT SYSTEMS,,3,0,0
CAP280,DATABASE MANAGEMENT SYSTEMS-LABORATORY,,0,0,2
CHE110,ENVIRONMENTAL STUDIES,,2,0,0
MTH136,DISCRETE STRUCTURES,,3,1,0
PEL200,ENGLISH COMMUNICATION SKILLS,,3,1,0
,SKILL ENHANCEMENT COURSE 3,,0,0,0
CAC301,SECURING COMPUTING SYSTEMS,,2,1,2
CAC302,DIGITAL FORENSICS,,2,1,2
CAP277,HUMAN COMPUTER INTERACTION,,4,0,0
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP460,FUNDAMENTALS OF PYTHON,,2,0,4
CAP499,INFORMATION STORAGE AND MANAGEMENT-LABORATORY,,0,0,2
CAP663,INFORMATION STORAGE AND MANAGEMENT,,3,0,0
CAP951,SOFTWARE PROJECT MANAGEMENT,,3,0,2
PEA208,ADVANCED ANALYTICAL SKILLS,,2,2,0
,GENERIC ELECTIVE 2,,0,0,0
,SKILL ENHANCEMENT COURSE 3,,0,0,0
,SPECIALIZATION ELECTIVE 2,,0,0,0
,SPECIALIZATION ELECTIVE 3,,0,0,0
ACC204,COST ACCOUNTING,,3,1,0
BSL102,COMPANY LAW,,3,1,0
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP460,FUNDAMENTALS OF PYTHON,,2,0,4
CAP473,GAME DEVELOPMENT USING UNITY ENGINE,,2,0,4
CAP474,GAME DEVELOPMENT USING UNREAL ENGINE,,2,0,4
CAP483,DATA VISUALIZATION,,2,0,4
CAP484,DESCRIPTIVE ANALYTICS,,2,0,4
CAP487,MOBILE APP DEVELOPMENT WITH REACT NATIVE,,2,0,4
CAP488,MOBILE APP DEVELOPMENT WITH NATIVESCRIPT,,2,0,4
CAP496,CRYPTOGRAPHY AND SECURITY RISK MANAGEMENT,,3,0,0
CAP497,CRYPTOGRAPHY AND SECURITY RISK MANAGEMENT-LABORATORY,,0,0,2
CAP562,CYBER SECURITY AWARENESS,,2,0,0
CAP563,CYBER SECURITY AWARENESS-LABORATORY,,0,0,4
CAP917,FRONT-END JAVASCRIPT FRAMEWORKS,,2,0,4
CAP918,MULTIPLATFORM MOBILE APP,,2,0,4
CAP951,SOFTWARE PROJECT MANAGEMENT,,3,0,2
ECE282,INTRODUCTION TO IOT WITH NODEMCU,,3,0,2
ECO113,BUSINESS ECONOMICS,,3,1,0
MKT309,DIGITAL MARKETING,,1,3,0
PEA208,ADVANCED ANALYTICAL SKILLS,,2,2,0
,SKILL ENHANCEMENT COURSE 1,,0,0,0
CAB303,MONGODB,,2,0,2
CAB304,SPARK AND SCALA,,2,0,2
CAP206,DATABASE MANAGEMENT SYSTEMS,,2,0,2
CAP269,CLOUD COMPUTING,,3,0,0
CAP270,CLOUD COMPUTING-LABORATORY,,0,0,2
CAP392,FUNDAMENTALS OF JAVA PROGRAMMING,,2,0,4
MGN231,PROJECT,,0,0,4
PES209,SOFT SKILLS,,2,2,0
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP449,INDUSTRY CO-OP PROJECT,,0,0,32
,DEPARTMENT ELECTIVE 1,,0,0,0
GEN740,RESEARCH AND PUBLICATION ETHICS,,3,0,0
GEN741,RESEARCH METHODOLOGY,,3,1,0
GEN742,RESEARCH WRITING AND PRESENTATION,,0,0,2
GEN744,INTELLECTUAL PROPERTY RIGHTS,,0,0,2
GEN745,ACADEMIC WRITING AND PRESENTATION SKILLS,,3,0,0
GEN746,RESEARCH SEMINAR,,0,0,8